"FREQ","seno"
5880,0.000201777
5890,0.000225684
5900,0.000226517
5910,0.000223132
5920,0.000208467
5930,0.000223626
5940,0.00023127
5950,0.000213601
5960,0.000212067
5970,0.000242844
5980,0.000232825
5990,0.000220119
6000,0.000189756
6010,0.000240484
6020,0.000264893
6030,0.000201281
6040,0.000236349
6050,0.000263174
6060,0.000210073
6070,0.000230642
6080,0.000260962
6090,0.00022592
6100,0.000203553
6110,0.000184696
6120,0.000171651
6130,0.000236211
6140,0.000219928
6150,0.000182532
6160,0.000190534
6170,0.000217055
6180,0.000199204
6190,0.000199637
6200,0.00025492
6210,0.000222787
6220,0.000244241
6230,0.000237089
6240,0.000269866
6250,0.000248079
6260,0.000245346
6270,0.00023297
6280,0.00068031
6290,0.00243927
6300,0.00209257
6310,0.000379219
6320,0.000221085
6330,0.000218784
6340,0.000264811
6350,0.000260939
6360,0.000276933
6370,0.000195843
6380,0.000241884
6390,0.000237574
6400,0.000186982
6410,0.00020079
6420,0.000219068
6430,0.00023646
6440,0.000219798
6450,0.000201649
6460,0.000200331
6470,0.000269426
6480,0.000266368
6490,0.000219559
6500,0.000176351
6510,0.000209056
6520,0.000237953
6530,0.000230893
6540,0.000223968
6550,0.000270018
6560,0.000227995
6570,0.000240401
6580,0.000249821
6590,0.000210113
6600,0.000173819
6610,0.000173207
6620,0.000209175
6630,0.000175085
6640,0.00019466
6650,0.000177013
6660,0.000190542
6670,0.000209252
6680,0.000229486
6690,0.000204586
6700,0.000224533
6710,0.000210694
6720,0.000208595
6730,0.000246943
6740,0.000249432
6750,0.000231655
6760,0.00024841
6770,0.000218241
6780,0.000397152
6790,0.0026171
6800,0.00356067
6810,0.00117756
6820,0.000223389
6830,0.000227347
6840,0.000216345
6850,0.000265778
6860,0.000239439
6870,0.000172756
6880,0.000192717
6890,0.000189585
6900,0.000240358
6910,0.00022967
6920,0.000206724
6930,0.000234946
6940,0.000246511
6950,0.000262449
6960,0.000221826
6970,0.000197806
6980,0.000245945
6990,0.000241314
7000,0.000231789
7010,0.000187367
7020,0.000194756
7030,0.000219175
7040,0.000239422
7050,0.000282055
7060,0.000286773
7070,0.000246213
7080,0.000286097
7090,0.000239541
7100,0.000218206
7110,0.000210574
7120,0.000219067
7130,0.000231369
7140,0.000216293
7150,0.000232059
7160,0.000193299
7170,0.000191544
7180,0.000213882
7190,0.000225035
7200,0.000224102
7210,0.00021134
7220,0.000201356
7230,0.000226371
7240,0.000293169
7250,0.000283313
7260,0.000244957
7270,0.000212896
7280,0.000212893
7290,0.000481088
7300,0.00104149
7310,0.000635891
7320,0.000251912
7330,0.000251764
7340,0.000198128
7350,0.000190617
7360,0.000204855
7370,0.000184307
7380,0.000184876
7390,0.000193107
7400,0.000219739
7410,0.000222944
7420,0.000219051
7430,0.000206095
7440,0.000211255
7450,0.000261521
7460,0.000233376
7470,0.000184469
7480,0.000211093
7490,0.000209592
7500,0.000214403
7510,0.000189759
7520,0.000177404
7530,0.000208638
7540,0.000200726
7550,0.000198493
7560,0.000244379
7570,0.000212621
7580,0.00019643
7590,0.000232643
7600,0.000227247
7610,0.000230346
7620,0.000195039
7630,0.000196718
7640,0.000237138
7650,0.000238455
7660,0.000200021
7670,0.000177009
7680,0.000177269
7690,0.000192195
7700,0.000198163
7710,0.000271889
7720,0.000217197
7730,0.000213078
7740,0.000234486
7750,0.000273369
7760,0.00025013
7770,0.000238319
7780,0.000199698
7790,0.000305533
7800,0.000833181
7810,0.000757072
7820,0.00025277
7830,0.000194133
7840,0.000186489
7850,0.000218049
7860,0.000227072
7870,0.000228726
7880,0.000198536
7890,0.000204857
7900,0.000218317
7910,0.000178541
7920,0.000193086
7930,0.000184018
7940,0.000203308
7950,0.000196607
7960,0.000176826
7970,0.00017845
7980,0.000244705
7990,0.000240261
8000,0.000207455
8010,0.000164486
8020,0.000215689
8030,0.000251208
8040,0.000200048
8050,0.000194168
8060,0.000249864
8070,0.000214532
8080,0.000227059
8090,0.000239101
8100,0.000204962
8110,0.000176821
8120,0.000170218
8130,0.000169246
